menuId,usuarioId,fecha,alimentoId,nombreAlimento,cantidadGramos,tiempoComida,calorias,proteinas,carbohidratos,grasas
33,2,2025-01-30,16,Salmón,200,Almuerzo,416.0,40.0,0.0,26.0
33,2,2025-01-30,2,Arroz integral cocido,150,Almuerzo,168.0,3.9,35.25,1.35
33,2,2025-01-30,42,Espinaca,100,Cena,23.0,2.9,3.6,0.4
33,2,2025-01-30,41,Brócoli,100,Cena,34.0,2.8,6.6,0.4
34,2,2025-02-02,19,Clara de huevo,200,Desayuno,104.0,22.0,1.4,0.4
34,2,2025-02-02,4,Pan integral,100,Desayuno,247.0,13.0,41.0,3.4
34,2,2025-02-02,44,Tomate,200,Almuerzo,36.0,1.8,7.8,0.4
34,2,2025-02-02,2,Arroz integral cocido,250,Almuerzo,280.0,6.5,58.75,2.25
34,2,2025-02-02,16,Salmón,200,Cena,416.0,40.0,0.0,26.0
34,2,2025-02-02,48,Aguacate,150,Cena,240.0,3.0,13.5,22.5
35,2,2025-02-08,31,Manzana,200,Desayuno,104.0,0.6,28.0,0.4
35,2,2025-02-08,19,Clara de huevo,150,Desayuno,78.0,16.5,1.05,0.3
35,2,2025-02-08,13,Carne molida res 90%,200,Almuerzo,352.0,52.0,0.0,16.0
35,2,2025-02-08,6,Pasta cocida,300,Almuerzo,474.0,17.4,93.0,2.7
35,2,2025-02-08,11,Pechuga de pollo,150,Almuerzo,247.5,46.5,0.0,5.4
35,2,2025-02-08,41,Brócoli,200,Cena,68.0,5.6,13.2,0.8
35,2,2025-02-08,32,Banano,100,MeriendaTarde,89.0,1.1,23.0,0.3
36,2,2025-02-20,4,Pan integral,200,Desayuno,494.0,26.0,82.0,6.8
36,2,2025-02-20,5,Avena en hojuelas,250,Desayuno,972.5,42.5,165.0,17.5
36,2,2025-02-20,1,Arroz blanco cocido,100,Almuerzo,130.0,2.7,28.2,0.3
36,2,2025-02-20,16,Salmón,250,Almuerzo,520.0,50.0,0.0,32.5
36,2,2025-02-20,13,Carne molida res 90%,100,Cena,176.0,26.0,0.0,8.0
36,2,2025-02-20,11,Pechuga de pollo,100,Cena,165.0,31.0,0.0,3.6
36,2,2025-02-20,31,Manzana,100,MeriendaTarde,52.0,0.3,14.0,0.2
37,2,2025-02-25,19,Clara de huevo,150,Desayuno,78.0,16.5,1.05,0.3
37,2,2025-02-25,6,Pasta cocida,200,Almuerzo,316.0,11.6,62.0,1.8
37,2,2025-02-25,13,Carne molida res 90%,150,Almuerzo,264.0,39.0,0.0,12.0
37,2,2025-02-25,13,Carne molida res 90%,200,Cena,352.0,52.0,0.0,16.0
38,2,2025-02-27,18,Huevo entero,200,Desayuno,310.0,26.0,2.2,22.0
38,2,2025-02-27,15,Atún en agua,250,Almuerzo,290.0,65.0,0.0,2.5
38,2,2025-02-27,42,Espinaca,200,Almuerzo,46.0,5.8,7.2,0.8
38,2,2025-02-27,1,Arroz blanco cocido,250,Almuerzo,325.0,6.75,70.5,0.75
38,2,2025-02-27,6,Pasta cocida,100,Cena,158.0,5.8,31.0,0.9
38,2,2025-02-27,16,Salmón,100,Cena,208.0,20.0,0.0,13.0
38,2,2025-02-27,23,Yogur natural,100,MeriendaTarde,59.0,10.0,3.6,0.4
39,2,2025-03-06,18,Huevo entero,250,Desayuno,387.5,32.5,2.75,27.5
39,2,2025-03-06,6,Pasta cocida,300,Almuerzo,474.0,17.4,93.0,2.7
39,2,2025-03-06,15,Atún en agua,300,Almuerzo,348.0,78.0,0.0,3.0
39,2,2025-03-06,44,Tomate,200,Almuerzo,36.0,1.8,7.8,0.4
39,2,2025-03-06,11,Pechuga de pollo,200,Cena,330.0,62.0,0.0,7.2
39,2,2025-03-06,32,Banano,100,MeriendaTarde,89.0,1.1,23.0,0.3
40,2,2025-03-14,23,Yogur natural,100,Desayuno,59.0,10.0,3.6,0.4
40,2,2025-03-14,42,Espinaca,300,Almuerzo,69.0,8.7,10.8,1.2
40,2,2025-03-14,15,Atún en agua,200,Almuerzo,232.0,52.0,0.0,2.0
40,2,2025-03-14,16,Salmón,150,Cena,312.0,30.0,0.0,19.5
40,2,2025-03-14,1,Arroz blanco cocido,200,Cena,260.0,5.4,56.4,0.6
40,2,2025-03-14,23,Yogur natural,100,MeriendaTarde,59.0,10.0,3.6,0.4
41,2,2025-03-16,32,Banano,200,Desayuno,178.0,2.2,46.0,0.6
41,2,2025-03-16,15,Atún en agua,150,Almuerzo,174.0,39.0,0.0,1.5
41,2,2025-03-16,16,Salmón,150,Almuerzo,312.0,30.0,0.0,19.5
41,2,2025-03-16,16,Salmón,200,Cena,416.0,40.0,0.0,26.0
42,2,2025-03-22,23,Yogur natural,250,Desayuno,147.5,25.0,9.0,1.0
42,2,2025-03-22,32,Banano,200,Desayuno,178.0,2.2,46.0,0.6
42,2,2025-03-22,13,Carne molida res 90%,200,Almuerzo,352.0,52.0,0.0,16.0
42,2,2025-03-22,2,Arroz integral cocido,150,Almuerzo,168.0,3.9,35.25,1.35
42,2,2025-03-22,11,Pechuga de pollo,100,Almuerzo,165.0,31.0,0.0,3.6
42,2,2025-03-22,13,Carne molida res 90%,150,Cena,264.0,39.0,0.0,12.0
42,2,2025-03-22,11,Pechuga de pollo,150,Cena,247.5,46.5,0.0,5.4
43,2,2025-03-24,33,Naranja,100,Desayuno,47.0,0.9,12.0,0.1
43,2,2025-03-24,13,Carne molida res 90%,150,Almuerzo,264.0,39.0,0.0,12.0
43,2,2025-03-24,16,Salmón,150,Almuerzo,312.0,30.0,0.0,19.5
43,2,2025-03-24,6,Pasta cocida,200,Almuerzo,316.0,11.6,62.0,1.8
43,2,2025-03-24,1,Arroz blanco cocido,100,Cena,130.0,2.7,28.2,0.3
44,2,2025-03-29,19,Clara de huevo,200,Desayuno,104.0,22.0,1.4,0.4
44,2,2025-03-29,16,Salmón,100,Almuerzo,208.0,20.0,0.0,13.0
44,2,2025-03-29,2,Arroz integral cocido,250,Almuerzo,280.0,6.5,58.75,2.25
44,2,2025-03-29,15,Atún en agua,150,Almuerzo,174.0,39.0,0.0,1.5
44,2,2025-03-29,13,Carne molida res 90%,150,Cena,264.0,39.0,0.0,12.0
44,2,2025-03-29,6,Pasta cocida,100,Cena,158.0,5.8,31.0,0.9
44,2,2025-03-29,31,Manzana,100,MeriendaTarde,52.0,0.3,14.0,0.2
45,2,2025-03-30,31,Manzana,100,Desayuno,52.0,0.3,14.0,0.2
45,2,2025-03-30,42,Espinaca,300,Almuerzo,69.0,8.7,10.8,1.2
45,2,2025-03-30,6,Pasta cocida,100,Almuerzo,158.0,5.8,31.0,0.9
45,2,2025-03-30,15,Atún en agua,100,Almuerzo,116.0,26.0,0.0,1.0
45,2,2025-03-30,6,Pasta cocida,200,Cena,316.0,11.6,62.0,1.8
45,2,2025-03-30,31,Manzana,100,MeriendaTarde,52.0,0.3,14.0,0.2
46,3,2025-01-01,18,Huevo entero,250,Desayuno,387.5,32.5,2.75,27.5
46,3,2025-01-01,41,Brócoli,300,Almuerzo,102.0,8.4,19.8,1.2
46,3,2025-01-01,6,Pasta cocida,200,Almuerzo,316.0,11.6,62.0,1.8
46,3,2025-01-01,13,Carne molida res 90%,150,Almuerzo,264.0,39.0,0.0,12.0
46,3,2025-01-01,41,Brócoli,200,Cena,68.0,5.6,13.2,0.8
46,3,2025-01-01,56,Mantequilla de mani,30,MeriendaTarde,176.4,7.5,6.0,15.0
47,3,2025-01-03,23,Yogur natural,200,Desayuno,118.0,20.0,7.2,0.8
47,3,2025-01-03,42,Espinaca,250,Almuerzo,57.5,7.25,9.0,1.0
47,3,2025-01-03,13,Carne molida res 90%,100,Almuerzo,176.0,26.0,0.0,8.0
47,3,2025-01-03,42,Espinaca,150,Cena,34.5,4.35,5.4,0.6
47,3,2025-01-03,41,Brócoli,200,Cena,68.0,5.6,13.2,0.8
48,3,2025-01-05,32,Banano,150,Desayuno,133.5,1.65,34.5,0.45
48,3,2025-01-05,13,Carne molida res 90%,150,Almuerzo,264.0,39.0,0.0,12.0
48,3,2025-01-05,11,Pechuga de pollo,100,Almuerzo,165.0,31.0,0.0,3.6
48,3,2025-01-05,6,Pasta cocida,150,Cena,237.0,8.7,46.5,1.35
49,3,2025-01-06,21,Leche entera,150,Desayuno,91.5,4.8,7.2,4.95
49,3,2025-01-06,23,Yogur natural,200,Desayuno,118.0,20.0,7.2,0.8
49,3,2025-01-06,6,Pasta cocida,300,Almuerzo,474.0,17.4,93.0,2.7
49,3,2025-01-06,1,Arroz blanco cocido,250,Almuerzo,325.0,6.75,70.5,0.75
49,3,2025-01-06,44,Tomate,250,Almuerzo,45.0,2.25,9.75,0.5
49,3,2025-01-06,48,Aguacate,150,Cena,240.0,3.0,13.5,22.5
49,3,2025-01-06,41,Brócoli,200,Cena,68.0,5.6,13.2,0.8
49,3,2025-01-06,33,Naranja,100,MeriendaTarde,47.0,0.9,12.0,0.1
50,3,2025-01-08,33,Naranja,100,Desayuno,47.0,0.9,12.0,0.1
50,3,2025-01-08,42,Espinaca,150,Almuerzo,34.5,4.35,5.4,0.6
50,3,2025-01-08,6,Pasta cocida,300,Almuerzo,474.0,17.4,93.0,2.7
50,3,2025-01-08,41,Brócoli,100,Almuerzo,34.0,2.8,6.6,0.4
50,3,2025-01-08,41,Brócoli,150,Cena,51.0,4.2,9.9,0.6
50,3,2025-01-08,42,Espinaca,200,Cena,46.0,5.8,7.2,0.8
51,3,2025-01-17,3,Pan blanco,100,Desayuno,265.0,9.0,49.0,3.2
51,3,2025-01-17,11,Pechuga de pollo,150,Almuerzo,247.5,46.5,0.0,5.4
51,3,2025-01-17,16,Salmón,150,Almuerzo,312.0,30.0,0.0,19.5
51,3,2025-01-17,6,Pasta cocida,100,Cena,158.0,5.8,31.0,0.9
51,3,2025-01-17,16,Salmón,100,Cena,208.0,20.0,0.0,13.0
52,3,2025-01-20,3,Pan blanco,250,Desayuno,662.5,22.5,122.5,8.0
52,3,2025-01-20,11,Pechuga de pollo,200,Almuerzo,330.0,62.0,0.0,7.2
52,3,2025-01-20,13,Carne molida res 90%,300,Almuerzo,528.0,78.0,0.0,24.0
